Company,Model,RMSE,MAE,MASE,MAPE,Directional Accuracy
Albemarle,ARIMA,4.322053863639846,3.114973452569103,1.0030373878349592,2.655155922042125,48.06408544726302
Albemarle,CEEMDAN-LSTM,11.81151080633166,8.865190418706142,2.854636668862992,7.335937275556785,47.930574098798395
Albemarle,Elastic Net,4.29181232985655,3.102447025954573,0.9990038143802699,2.642706555732817,48.865153538050734
Albemarle,GRU,6.816686318297146,5.088410151110238,1.6384941008062341,4.248671038861869,49.66622162883845
Albemarle,Histogram Gradient Boosting,4.622748112159754,3.372545853455551,1.0859770186528208,2.838954063879226,48.06408544726302
Albemarle,LASSO,4.29181232985655,3.102447025954573,0.9990038143802699,2.642706555732817,48.865153538050734
Albemarle,LSTM,7.211854306460144,5.494081006513993,1.7691221916457753,4.564599936979629,50.60080106809078
Albemarle,LightGBM,4.900063240253441,3.555301950519298,1.1448254168818799,2.9424302963453877,49.799732977303066
Albemarle,Random Forest,4.598257111190494,3.338973373304474,1.0751665082884057,2.842792290052818,47.930574098798395
Albemarle,Random Walk,4.2975811491271845,3.1048800000000005,0.9997872444699174,2.644948891917331,47.79706275033378
Albemarle,Random Walk + Drift,4.299032122759242,3.1064272335849417,1.0002854615998675,2.646087023393174,47.79706275033378
Albemarle,Selected ARX,4.309384246541146,3.121980148301949,1.005293579706974,2.666351975155996,48.598130841121495
Albemarle,VMD-GRU,11.099094859151364,7.688629048019689,2.4757778882504216,6.072046082945417,49.39919893190921
Albemarle,VMD-LASSO-ARX/LSTM,10.652939008520391,7.861547510590266,2.531458517843646,6.695198829530067,47.396528704939925
Albemarle,VMD-LSTM,10.893929119741845,7.460900690177312,2.40244819197395,6.099892998251803,48.46461949265687
Albemarle,XGBoost,4.511840559797694,3.2965007641601565,1.0614901108553823,2.771959409081925,49.93324432576769
Anglo American,ARIMA,0.7878235728134735,0.5656191424301047,1.0042401215554835,1.8608011909294442,50.467289719626166
Anglo American,CEEMDAN-LSTM,1.7262706326007078,1.3449755295053887,2.3879644232630435,4.485360663150944,52.46995994659546
Anglo American,Elastic Net,0.7833816639782044,0.5631386909077329,0.9998361529634076,1.8494871509543094,50.33377837116155
Anglo American,GRU,1.1027108663857117,0.8328165076363554,1.4786411705744151,2.7974617384158083,48.99866488651535
Anglo American,Histogram Gradient Boosting,0.8269272488201201,0.5951030083364435,1.0565878567373177,1.9501693632139951,51.53538050734312
Anglo American,LASSO,0.7833816639782044,0.5631386909077329,0.9998361529634076,1.8494871509543094,50.33377837116155
Anglo American,LSTM,1.2443343499342934,0.9504889391041925,1.6875651054562562,3.15014151198204,48.73164218958612
Anglo American,LightGBM,0.8444639705746376,0.6215907692023999,1.1036160956994523,2.0462830352832575,50.86782376502003
Anglo American,Random Forest,0.8334242382861089,0.6102530873536347,1.0834863756389819,2.0135868751607977,50.734312416555404
Anglo American,Random Walk,0.7836980711132742,0.5627466666666666,0.9991401254742923,1.8500238825847435,50.33377837116155
Anglo American,Random Walk + Drift,0.7838162737708634,0.562795524868357,0.9992268717717988,1.8500120551812267,50.33377837116155
Anglo American,Selected ARX,0.7831795669658108,0.5621884194329241,0.9981489739594002,1.8477310796721227,50.33377837116155
Anglo American,VMD-GRU,1.3032888283215727,1.0252498860662278,1.820300963974402,3.459994786789554,49.532710280373834
Anglo American,VMD-LASSO-ARX/LSTM,1.7407363975919175,1.3104671956260887,2.326695893239932,4.318666845052986,53.67156208277704
Anglo American,VMD-LSTM,1.45807211149452,1.1245747396363168,1.9966493149056699,3.7214405837716624,48.06408544726302
Anglo American,XGBoost,0.8100909696141052,0.5822523681640627,1.0337719237522132,1.9217240938007054,50.467289719626166
BHP Group,ARIMA,0.4653378494200689,0.35175969197501106,0.9931133616861961,1.2234990479178016,51.4018691588785
BHP Group,CEEMDAN-LSTM,1.2526168307065157,0.9754506030887112,2.753962576420143,3.40621752070878,51.00133511348465
BHP Group,Elastic Net,0.4693093845884885,0.3546600174638914,1.0013017700284763,1.2307579847048733,49.799732977303066
BHP Group,GRU,0.7382786445035078,0.52720926761374,1.4884552722123534,1.8165036861854542,51.53538050734312
BHP Group,Histogram Gradient Boosting,0.6810501025849602,0.4111082163278024,1.1606704009825086,1.384619084428982,49.66622162883845
BHP Group,LASSO,0.4693093845884885,0.3546600174638914,1.0013017700284763,1.2307579847048733,49.799732977303066
BHP Group,LSTM,0.9021313290180467,0.6305624481268504,1.7802494341984487,2.153069737933394,48.73164218958612
BHP Group,LightGBM,0.7012448693931634,0.4295793905674039,1.2128195538328166,1.4463044974704287,51.66889185580774
BHP Group,Random Forest,0.6403908893863888,0.4103425184922416,1.1585086275648664,1.3916081965063432,50.734312416555404
BHP Group,Random Walk,0.4693803191442948,0.3541213333333334,0.9997809180946412,1.2298762803036931,49.799732977303066
BHP Group,Random Walk + Drift,0.4694508755406163,0.35416025015099817,0.9998907908643158,1.2299218427761982,49.799732977303066
BHP Group,Selected ARX,0.46965203363252733,0.3548827951124233,1.0019307319717845,1.2329165714100732,50.60080106809078
BHP Group,VMD-GRU,0.9924592684897913,0.729053588742651,2.058316734076043,2.4940058004193277,51.00133511348465
BHP Group,VMD-LASSO-ARX/LSTM,1.0109987245348522,0.7881365940997044,2.225124140971416,2.750880986410678,53.271028037383175
BHP Group,VMD-LSTM,1.1179896696870644,0.7983061222337698,2.2538354871045643,2.716768509424032,49.265687583444596
BHP Group,XGBoost,0.6638949919974388,0.4057303878784179,1.145487327390554,1.3689707937123392,49.93324432576769
Freeport-McMoRan,ARIMA,1.1259009831351,0.8109341751601535,1.010413217098129,1.8787467273469156,48.99866488651535
Freeport-McMoRan,CEEMDAN-LSTM,2.5556471026971352,1.9391213706391761,2.4161194859796273,4.502731676650512,50.734312416555404
Freeport-McMoRan,Elastic Net,1.122232249006384,0.8044862508364281,1.0023791889869644,1.8616541147503103,47.396528704939925
Freeport-McMoRan,GRU,2.23997503879958,1.4944625840744914,1.8620805407655572,3.2448508018964115,46.461949265687586
Freeport-McMoRan,Histogram Gradient Boosting,1.8523741219118814,1.1360809221342578,1.4155417475046976,2.4513777984404888,47.66355140186916
Freeport-McMoRan,LASSO,1.122232249006384,0.8044862508364281,1.0023791889869644,1.8616541147503103,47.396528704939925
Freeport-McMoRan,LSTM,2.3509495825108555,1.6871361050093021,2.1021491901092824,3.7384753539628757,47.66355140186916
Freeport-McMoRan,LightGBM,1.8089146036932744,1.145715132046938,1.4275458451617578,2.495762481280573,46.19492656875834
