Company,Model,Strategy,Cost,Annualized Return,Sharpe,Sortino,Calmar,Max Drawdown (%),Turnover,Hit Rate (%),Final Equity,Factor Status,Factor Frequency,CAPM alpha,CAPM alpha p-value,FF3 alpha,FF3 alpha p-value,FF5 alpha,FF5 alpha p-value
Albemarle,ARIMA,Uncertainty-adjusted,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,Evaluated from north_america_ff5.csv (daily),daily,-0.04561277703640653,0.0,-0.04563138573453151,0.0,-0.0456315443327095,0.0
Albemarle,ARIMA,Directional (no uncertainty),0.0,-0.3149569034935722,-0.3778570051883095,-0.5188619898475442,-0.3463153983068239,-90.94510525186953,1.3293333333333333,48.93333333333334,0.32438828451897983,Evaluated from north_america_ff5.csv (daily),daily,-0.2351659241446008,0.4887109418973875,-0.19186844678499887,0.5706716928029905,-0.20785834440302164,0.544145893413235
Albemarle,ARIMA,Uncertainty-adjusted,0.001,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,Evaluated from north_america_ff5.csv (daily),daily,-0.04561277703640653,0.0,-0.04563138573453151,0.0,-0.0456315443327095,0.0
Albemarle,ARIMA,Directional (no uncertainty),0.001,-0.5105375532014689,-0.9656969268562663,-1.2919512881671031,-0.5327571600939276,-95.82931801638456,1.3293333333333333,48.93333333333334,0.11927399463049022,Evaluated from north_america_ff5.csv (daily),daily,-0.5700479591327567,0.09828843699284265,-0.526439651392327,0.12547941170270424,-0.542466152267075,0.1189766372777542
Albemarle,ARIMA,Uncertainty-adjusted,0.0025,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,Evaluated from north_america_ff5.csv (daily),daily,-0.04561277703640653,0.0,-0.04563138573453151,0.0,-0.0456315443327095,0.0
Albemarle,ARIMA,Directional (no uncertainty),0.0025,-0.704763387658796,-1.8435564803672513,-2.3726769869238296,-0.7139001054486077,-98.72016858940364,1.3293333333333333,48.93333333333334,0.026492664226512586,Evaluated from north_america_ff5.csv (daily),daily,-1.0723710116149916,0.002379451742194839,-1.028296458303319,0.0034721719282940953,-1.044377864063155,0.003369881228483358
Albemarle,ARIMA,Uncertainty-adjusted,0.005,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,Evaluated from north_america_ff5.csv (daily),daily,-0.04561277703640653,0.0,-0.04563138573453151,0.0,-0.0456315443327095,0.0
Albemarle,ARIMA,Directional (no uncertainty),0.005,-0.8733005758499655,-3.2864535539139,-3.970663934023647,-0.8746482513447807,-99.8459180027236,1.3293333333333333,48.93333333333334,0.002136418999663775,Evaluated from north_america_ff5.csv (daily),daily,-1.9095760990853823,2.0403869958175457e-07,-1.8647244698216383,3.6567905326782264e-07,-1.880897383723288,3.989121808662709e-07
Albemarle,CEEMDAN-LSTM,Uncertainty-adjusted,0.0,-0.03257578661852378,0.22423673869409438,0.33207291273585327,-0.04699020822199699,-69.32462708959535,0.25466666666666665,47.733333333333334,0.9061358490799847,Evaluated from north_america_ff5.csv (daily),daily,-0.06151939117722384,0.848254116011965,-0.06847317040966312,0.8310218425506781,-0.04094829460188936,0.8988397023762652
Albemarle,CEEMDAN-LSTM,Directional (no uncertainty),0.0,-0.03257578661852378,0.22423673869409438,0.33207291273585327,-0.04699020822199699,-69.32462708959535,0.25466666666666665,47.733333333333334,0.9061358490799847,Evaluated from north_america_ff5.csv (daily),daily,-0.06151939117722384,0.848254116011965,-0.06847317040966312,0.8310218425506781,-0.04094829460188936,0.8988397023762652
