Company,Model,Coverage (%),Avg Width,Sharpness,Calibration Error,Winkler
Rio Tinto,XGBoost,86.66666666666667,4.78991200048828,4.78991200048828,3.3333333333333326,10.9902649757487
Zijin Mining,ARIMA,79.06666666666666,0.14759257055962982,0.14759257055962982,10.933333333333339,0.3882469689900446
Zijin Mining,CEEMDAN-LSTM,80.66666666666666,0.475379325583039,0.475379325583039,9.333333333333337,1.3808156779981666
Zijin Mining,Dynamic Selected,79.46666666666667,0.14904825440522368,0.14904825440522368,10.533333333333339,0.3875812973542444
Zijin Mining,Elastic Net,79.86666666666666,0.1480779656275399,0.1480779656275399,10.133333333333338,0.3864290077616793
Zijin Mining,GRU,72.53333333333333,0.5170023375081224,0.5170023375081224,17.466666666666665,1.7467009341289519
Zijin Mining,Histogram Gradient Boosting,75.86666666666667,0.2996835910411641,0.2996835910411641,14.133333333333331,1.3957117491554802
Zijin Mining,LASSO,79.86666666666666,0.1480779656275399,0.1480779656275399,10.133333333333338,0.3864290077616793
Zijin Mining,LSTM,73.73333333333333,0.4793733184241705,0.4793733184241705,16.266666666666673,1.7075558483247473
Zijin Mining,LightGBM,76.53333333333333,0.3088873160054148,0.3088873160054148,13.466666666666672,1.3032754013501515
Zijin Mining,Random Forest,77.06666666666668,0.23362953608882472,0.23362953608882472,12.93333333333333,0.9671847885435306
Zijin Mining,Random Walk,79.06666666666666,0.1465973333333334,0.1465973333333334,10.933333333333339,0.3844106666666667
Zijin Mining,Random Walk + Drift,79.06666666666666,0.1465059283261962,0.1465059283261962,10.933333333333339,0.38429687302992693
Zijin Mining,Selected ARX,79.46666666666667,0.14642530752135752,0.14642530752135752,10.533333333333339,0.38468593863103917
Zijin Mining,VMD-GRU,73.46666666666667,0.4819865517081008,0.4819865517081008,16.53333333333333,1.6804078905379523
Zijin Mining,VMD-LASSO-ARX/LSTM,80.4,0.3598742417197033,0.3598742417197033,9.599999999999998,1.0442991011817324
Zijin Mining,VMD-LSTM,77.60000000000001,0.4630036963633493,0.4630036963633493,12.4,1.4750444165937506
Zijin Mining,XGBoost,76.66666666666667,0.2956802780558268,0.2956802780558268,13.33333333333333,1.1479170935211183
