,^GSPC,000001.SS,CL=F,^VIX,DX-Y.NYB
,Close,Close,Close,Close,Close
Date,,,,,
2011-05-02,1361.219970703125,,113.5199966430664,15.989999771118164,72.94999694824219
2011-05-03,1356.6199951171875,2932.18798828125,111.05000305175781,16.700000762939453,73.13999938964844
2011-05-04,1347.3199462890625,2866.01708984375,109.23999786376953,17.079999923706055,73.02999877929688
2011-05-05,1335.0999755859375,2872.404052734375,99.80000305175781,18.200000762939453,74.19000244140625
2011-05-06,1340.199951171875,2863.885986328125,97.18000030517578,18.399999618530273,74.83999633789062
2011-05-09,1346.2900390625,2872.4599609375,102.55000305175781,17.15999984741211,74.73999786376953
2011-05-10,1357.1600341796875,2890.634033203125,103.87999725341797,15.90999984741211,74.61000061035156
2011-05-11,1342.0799560546875,2883.419921875,98.20999908447266,16.950000762939453,75.33000183105469
2011-05-12,1348.6500244140625,2844.0830078125,98.97000122070312,16.030000686645508,75.23999786376953
2011-05-13,1337.77001953125,2871.031005859375,99.6500015258789,17.06999969482422,75.76000213623047
2011-05-16,1329.469970703125,2849.06689453125,97.37000274658203,18.239999771118164,75.47000122070312
2011-05-17,1328.97998046875,2852.77294921875,96.91000366210938,17.549999237060547,75.4000015258789
2011-05-18,1340.6800537109375,2872.77099609375,100.0999984741211,16.229999542236328,75.47000122070312
2011-05-19,1343.5999755859375,2859.573974609375,98.44000244140625,15.520000457763672,75.12000274658203
2011-05-20,1333.27001953125,2858.458984375,99.48999786376953,17.43000030517578,75.43000030517578
2011-05-23,1317.3699951171875,2774.569091796875,97.69999694824219,18.270000457763672,76.0999984741211
2011-05-24,1316.280029296875,2767.055908203125,99.58999633789062,17.81999969482422,75.87999725341797
2011-05-25,1320.469970703125,2741.740966796875,101.31999969482422,17.06999969482422,75.93000030517578
2011-05-26,1325.68994140625,2736.527099609375,100.2300033569336,16.09000015258789,75.55000305175781
2011-05-27,1331.0999755859375,2709.947021484375,100.58999633789062,15.979999542236328,74.94999694824219
2011-05-30,,2706.361083984375,,,
2011-05-31,1345.199951171875,2743.471923828125,102.69999694824219,15.449999809265137,74.63999938964844
2011-06-01,1314.550048828125,2743.572021484375,100.29000091552734,18.299999237060547,74.68000030517578
2011-06-02,1312.93994140625,2705.180908203125,100.4000015258789,18.09000015258789,74.33000183105469
2011-06-03,1300.1600341796875,2728.02001953125,100.22000122070312,17.950000762939453,73.77999877929688
2011-06-06,1286.1700439453125,,99.01000213623047,18.489999771118164,73.94999694824219
2011-06-07,1284.93994140625,2744.300048828125,99.08999633789062,18.06999969482422,73.5199966430664
2011-06-08,1279.56005859375,2750.2880859375,100.73999786376953,18.790000915527344,73.93000030517578
2011-06-09,1289.0,2703.344970703125,101.93000030517578,17.770000457763672,74.19000244140625
2011-06-10,1270.97998046875,2705.14306640625,99.29000091552734,18.860000610351562,74.79000091552734
2011-06-13,1271.8299560546875,2700.37890625,97.30000305175781,19.610000610351562,74.51000213623047
2011-06-14,1287.8699951171875,2730.0400390625,99.37000274658203,18.260000228881836,74.33000183105469
2011-06-15,1265.4200439453125,2705.430908203125,94.80999755859375,21.31999969482422,75.5999984741211
2011-06-16,1267.6400146484375,2664.281982421875,94.94999694824219,22.729999542236328,75.75
