Target,Scheme,Strategy return (%),Buy-and-hold return (%),Excess return (pp),Sharpe,Maximum drawdown (%),Annualized factor alpha (%),HAC alpha t-statistic,Underlying beta,MVIS beta,R-squared,N
Carbonate,Scheme 1,345.77179092465843,114.81985044187621,230.95194048278222,10.217954177684865,-5.031446540880498,281.02139490778205,3.2025366874506593,0.42918578805745305,-0.12425471538257413,0.24495715475607116,102
Carbonate,Scheme 1',232.7154726863687,114.81985044187621,117.8956222444925,8.569970042329148,-4.430379746835441,212.00545399407616,3.0537749428239676,0.43747770205638703,-0.10348827086088808,0.27790787803393535,102
Carbonate,Scheme 2,336.50231236230314,114.81985044187621,221.68246192042693,10.02061072009426,-5.222585781386837,274.31657598283215,3.1351944458402947,0.434491261643144,-0.12715193251748655,0.24990585480169358,102
Carbonate,Scheme 2',224.18155422847775,114.81985044187621,109.36170378660154,8.343468303380915,-4.625849367088604,204.17169088050593,2.9780085484952044,0.4441418007953393,-0.10517431703409916,0.2831621947717954,102
Hydroxide,Scheme 1,239.84177151229215,106.77083333333334,133.0709381789588,4.411968422140975,-5.028571428571445,147.71172440453185,2.990601836384073,0.8161912095272952,0.003214964757497215,0.7222314543374295,105
Hydroxide,Scheme 1',173.79994641220776,106.77083333333334,67.02911307887442,3.694992743771032,-5.028571428571416,90.37106532765253,1.835554615222731,0.8221826289040177,0.024398674987547306,0.7390324737621038,105
Hydroxide,Scheme 2,223.23963085894678,106.77083333333334,116.46879752561344,4.248563509673376,-5.218514285714279,135.7072050617243,2.7780132393900856,0.8172261383421308,-0.003896895900756401,0.7253909815477212,105
Hydroxide,Scheme 2',164.30683060915544,106.77083333333334,57.5359972758221,3.580869601970164,-5.493133897791809,81.77780488360874,1.7036141239001195,0.8225989439731245,0.024757106041617433,0.742276186880681,105
