Target,Model,Scheme,Transaction Cost,Cumulative Return (%),Average Daily Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
lithium_carbonate,ARIMA,Scheme 1,0.0,190.06973380216343,1.081425818005642,-7.121223887551451,6.709660538839023,24,70.58823529411765
lithium_carbonate,ARIMA,Scheme 1',0.0,120.99143207190497,0.80289202154995,-4.958677685950422,5.891484666491259,26,23.52941176470588
lithium_carbonate,ARIMA,Scheme 2,0.001,176.75373988325097,1.0353473866330931,-7.686659561798318,6.378364073094069,24,70.58823529411765
lithium_carbonate,ARIMA,Scheme 2',0.001,114.95977071853174,0.7754410411577931,-4.968404958677676,5.704977064707514,26,23.52941176470588
lithium_carbonate,CEEMDAN-ARIMA,Scheme 1,0.0,398.4925379620354,1.6119293088977324,-5.234159779614317,11.327180758421289,19,83.33333333333334
lithium_carbonate,CEEMDAN-ARIMA,Scheme 1',0.0,366.7865603000135,1.5456845058002888,-2.194357366771165,11.022431293789204,29,57.84313725490197
lithium_carbonate,CEEMDAN-ARIMA,Scheme 2,0.001,380.5439410343174,1.5756547990938108,-5.234159779614314,11.020874781590988,19,83.33333333333334
lithium_carbonate,CEEMDAN-ARIMA,Scheme 2',0.001,350.4396679188354,1.51039038815323,-2.394357366771158,10.73241233846971,29,57.84313725490197
lithium_carbonate,CEEMDAN-LSTM,Scheme 1,0.0,309.67588721745534,1.419532118557495,-4.347826086956522,9.444997940659984,19,69.6078431372549
lithium_carbonate,CEEMDAN-LSTM,Scheme 1',0.0,81.7837255039309,0.6025866979344019,-2.19435736677116,5.403295027491997,20,16.666666666666664
lithium_carbonate,CEEMDAN-LSTM,Scheme 2,0.001,294.8526642315122,1.3832576087535733,-4.547826086956524,9.147894434230684,19,69.6078431372549
lithium_carbonate,CEEMDAN-LSTM,Scheme 2',0.001,78.23348473043058,0.582978854797147,-2.3920630094043904,5.256825506696537,20,16.666666666666664
lithium_carbonate,ELM,Scheme 1,0.0,105.97736035651906,0.7461610707741522,-25.89531680440772,4.425102528263771,3,64.70588235294117
lithium_carbonate,ELM,Scheme 1',0.0,116.26650882135282,0.7854561193837284,-20.66115702479338,5.356205217434873,14,53.92156862745098
lithium_carbonate,ELM,Scheme 2,0.001,104.95173065158995,0.7412591099898383,-25.895316804407717,4.394274836324857,3,64.70588235294117
lithium_carbonate,ELM,Scheme 2',0.001,113.28744441455858,0.77173062918765,-20.7404958677686,5.265127194858109,14,53.92156862745098
lithium_carbonate,ES,Scheme 1,0.0,114.8198504418762,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ES,Scheme 1',0.0,114.8198504418762,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ES,Scheme 2,0.001,114.60503059143426,0.7863807205059539,-25.895316804407717,4.683983516774416,1,64.70588235294117
lithium_carbonate,ES,Scheme 2',0.001,114.60503059143426,0.7863807205059539,-25.895316804407717,4.683983516774416,1,64.70588235294117
lithium_carbonate,LSTM,Scheme 1,0.0,28.25816688540388,0.2820657637818267,-26.41695803180681,1.6192206795221502,13,55.88235294117647
lithium_carbonate,LSTM,Scheme 1',0.0,34.874499292017404,0.3058734421837016,-10.724637681159416,3.0906777831651944,15,28.431372549019606
lithium_carbonate,LSTM,Scheme 2,0.001,25.089206514935512,0.257555959860258,-27.87388338711802,1.477958273013076,13,55.88235294117647
lithium_carbonate,LSTM,Scheme 2',0.001,32.87431066944799,0.2911675598307605,-10.724637681159429,2.9445129973372848,15,28.431372549019606
lithium_carbonate,MLP,Scheme 1,0.0,114.8198504418762,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,MLP,Scheme 1',0.0,29.02110630752879,0.2618176588651734,-10.724637681159416,2.7123991844652307,13,32.35294117647059
lithium_carbonate,MLP,Scheme 2,0.001,114.60503059143426,0.7863807205059539,-25.895316804407717,4.683983516774416,1,64.70588235294117
lithium_carbonate,MLP,Scheme 2',0.001,27.342403731737463,0.2490725608259577,-10.909469565217396,2.5675581887934795,13,32.35294117647059
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,Scheme 1,0.0,345.77179092465843,1.502368645553305,-5.031446540880498,10.217954177684865,11,74.50980392156863
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,Scheme 1',0.0,232.7154726863687,1.2096992836796814,-4.430379746835441,8.569970042329148,23,49.01960784313725
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,Scheme 2,0.001,336.50231236230314,1.4817804102591874,-5.222585781386837,10.02061072009426,11,74.50980392156863
lithium_carbonate,Proposed VMD-LASSO-ARIMA/LSTM,Scheme 2',0.001,224.18155422847772,1.18420908760125,-4.625849367088604,8.343468303380915,23,49.01960784313725
lithium_carbonate,RF,Scheme 1,0.0,36.8637966135902,0.3457254510466694,-23.311992230425112,1.9899224683581345,8,55.88235294117647
lithium_carbonate,RF,Scheme 1',0.0,-1.921722386543201,0.0062985616930298,-21.293951107796783,0.0442437236103737,7,18.62745098039216
lithium_carbonate,RF,Scheme 2,0.001,34.83294953834803,0.3310195686937283,-23.311992230425105,1.905920823350794,8,55.88235294117647
lithium_carbonate,RF,Scheme 2',0.001,-2.6105882833724725,-0.0005641834050093,-21.45393485940343,-0.0039598389547888,7,18.62745098039216
lithium_carbonate,SVR,Scheme 1,0.0,112.3534418102465,0.776303828127326,-16.696613946557896,4.618826126714415,9,67.64705882352942
