Model,RMSE,MAE,MASE,MAPE,Directional Accuracy,Within-Company RMSE Rank
VMD-LASSO-ARX/LSTM,2.30685865750846,1.7192729170902494,2.243559212073349,4.122112836774228,49.23230974632844,1.875
VMD-GRU,2.45624640669486,1.7335109971934892,2.3575690037689125,4.071307519329107,48.815086782376504,2.125
VMD-LSTM,2.4970207909812845,1.7436773859758687,2.333638980407911,4.038359669948601,48.531375166889184,2.625
CEEMDAN-LSTM,2.7155219552943595,2.0606309206634688,2.777888155858931,4.908893944334566,49.33244325767691,3.375
