Target,Proposed RMSE,Random Walk RMSE,RMSE improvement (%),Proposed MAE,Random Walk MAE,MAE improvement (%),Proposed MAPE,Random Walk MAPE,Proposed directional accuracy,Random Walk directional accuracy
lithium_carbonate,2881.4682,3497.3835,17.61,1959.1156,1991.1765,1.61,1.72,1.53,74.0741,74.8148
lithium_hydroxide,0.2737,0.5496,50.20,0.1979,0.1811,-9.32,1.49,1.19,44.2857,41.4286
