Year,Candidate records,Status
2011,9484,ok
2012,10814,ok
2013,12339,ok
2014,13958,ok
2015,14839,ok
2016,16397,ok
2017,0,unavailable:HTTPError
2018,18967,ok
2019,22029,ok
2020,24932,ok
2021,0,unavailable:HTTPError
2022,0,unavailable:HTTPError
2023,37286,ok
2024,44506,ok
2025,56247,ok
2026,0,unavailable:HTTPError
