Year,Candidate records,Status
2011,9484,ok
2012,10814,ok
2013,12339,ok
2014,13958,ok
2015,0,unavailable:HTTPError
2016,16397,ok
2017,0,unavailable:HTTPError
2018,18967,ok
2019,0,unavailable:HTTPError
2020,24932,ok
2021,27955,ok
2022,32786,ok
2023,37286,ok
2024,44505,ok
2025,56243,ok
2026,38921,ok
