Company,Model,RMSE,MAE,MASE,MAPE,Directional Accuracy
Albemarle,ARIMA,4.322053863639846,3.114973452569102,1.003037387834959,2.655155922042125,48.06408544726302
Albemarle,CEEMDAN-LSTM,11.81151080633166,8.865190418706142,2.854636668862992,7.335937275556785,47.9305740987984
Albemarle,Dynamic Selected,4.32755162320819,3.160326691965248,1.017641362946286,2.69821850251703,48.46461949265687
Albemarle,Elastic Net,4.29181232985655,3.102447025954573,0.99900381438027,2.642706555732817,48.865153538050734
Albemarle,GRU,6.816686318297146,5.088410151110238,1.638494100806234,4.248671038861868,49.66622162883845
Albemarle,Histogram Gradient Boosting,4.622748112159754,3.372545853455551,1.0859770186528208,2.8389540638792266,48.06408544726302
Albemarle,LASSO,4.29181232985655,3.102447025954573,0.99900381438027,2.642706555732817,48.865153538050734
Albemarle,LSTM,7.211854306460144,5.494081006513993,1.769122191645775,4.564599936979631,50.60080106809078
Albemarle,LightGBM,4.900063240253441,3.555301950519298,1.14482541688188,2.942430296345388,49.799732977303066
Albemarle,Random Forest,4.598257111190494,3.338973373304474,1.0751665082884057,2.842792290052817,47.9305740987984
Albemarle,Random Walk,4.2975811491271845,3.1048800000000005,0.9997872444699174,2.644948891917331,47.79706275033378
Albemarle,Random Walk + Drift,4.299032122759242,3.1064272335849417,1.0002854615998675,2.646087023393174,47.79706275033378
Albemarle,Selected ARX,4.309384246541146,3.1219801483019496,1.0052935797069742,2.666351975155996,48.598130841121495
Albemarle,VMD-GRU,11.099094859151364,7.688629048019689,2.4757778882504216,6.072046082945417,49.39919893190921
Albemarle,VMD-LASSO-ARX/LSTM,10.652939008520391,7.861547510590269,2.531458517843647,6.695198829530067,47.396528704939925
Albemarle,VMD-LSTM,10.893929119741848,7.460900690177312,2.40244819197395,6.099892998251802,48.46461949265687
Albemarle,XGBoost,4.511840559797694,3.2965007641601565,1.0614901108553825,2.771959409081925,49.93324432576769
Anglo American,ARIMA,0.7878235728134735,0.5656191424301048,1.0042401215554837,1.8608011909294448,50.467289719626166
Anglo American,CEEMDAN-LSTM,1.7262706326007078,1.344975529505389,2.3879644232630435,4.485360663150944,52.46995994659546
Anglo American,Dynamic Selected,0.7971941648451241,0.570945812529939,1.0136974673687127,1.8737439220874497,51.00133511348465
Anglo American,Elastic Net,0.7833816639782043,0.5631386909077329,0.9998361529634076,1.8494871509543096,50.33377837116155
Anglo American,GRU,1.1027108663857117,0.8328165076363554,1.4786411705744151,2.7974617384158083,48.99866488651535
Anglo American,Histogram Gradient Boosting,0.82692724882012,0.5951030083364435,1.0565878567373177,1.9501693632139951,51.53538050734312
Anglo American,LASSO,0.7833816639782043,0.5631386909077329,0.9998361529634076,1.8494871509543096,50.33377837116155
Anglo American,LSTM,1.2443343499342934,0.9504889391041924,1.687565105456256,3.1501415119820395,48.73164218958612
Anglo American,LightGBM,0.8444639705746375,0.6215907692023998,1.103616095699452,2.046283035283257,50.86782376502003
Anglo American,Random Forest,0.8334242382861089,0.6102530873536348,1.083486375638982,2.013586875160798,50.734312416555404
Anglo American,Random Walk,0.7836980711132742,0.5627466666666666,0.9991401254742924,1.8500238825847437,50.33377837116155
Anglo American,Random Walk + Drift,0.7838162737708634,0.562795524868357,0.9992268717717988,1.850012055181227,50.33377837116155
Anglo American,Selected ARX,0.7831795669658107,0.5621884194329241,0.9981489739594002,1.8477310796721227,50.33377837116155
Anglo American,VMD-GRU,1.303288828321573,1.0252498860662276,1.8203009639744017,3.459994786789554,49.53271028037384
Anglo American,VMD-LASSO-ARX/LSTM,1.7407363975919177,1.3104671956260887,2.326695893239932,4.318666845052987,53.67156208277704
Anglo American,VMD-LSTM,1.45807211149452,1.1245747396363168,1.9966493149056697,3.7214405837716624,48.06408544726302
Anglo American,XGBoost,0.8100909696141052,0.5822523681640625,1.033771923752213,1.921724093800705,50.467289719626166
BHP Group,ARIMA,0.4653378494200689,0.3517596919750109,0.9931133616861958,1.2234990479178016,51.4018691588785
BHP Group,CEEMDAN-LSTM,1.2526168307065155,0.9754506030887112,2.753962576420143,3.40621752070878,51.00133511348465
BHP Group,Dynamic Selected,0.4761341724821699,0.3619208283633126,1.0218010156367658,1.2560168085269776,51.53538050734312
BHP Group,Elastic Net,0.4693093845884885,0.3546600174638915,1.0013017700284763,1.2307579847048735,49.799732977303066
BHP Group,GRU,0.7382786445035076,0.52720926761374,1.4884552722123534,1.816503686185453,51.53538050734312
BHP Group,Histogram Gradient Boosting,0.6810501025849602,0.4111082163278024,1.1606704009825086,1.384619084428982,49.66622162883845
BHP Group,LASSO,0.4693093845884885,0.3546600174638915,1.0013017700284763,1.2307579847048735,49.799732977303066
BHP Group,LSTM,0.9021313290180468,0.6305624481268505,1.780249434198449,2.1530697379333947,48.73164218958612
BHP Group,LightGBM,0.7012448693931637,0.4295793905674041,1.212819553832817,1.4463044974704289,51.66889185580774
BHP Group,Random Forest,0.6403908893863888,0.4103425184922417,1.1585086275648666,1.3916081965063436,50.734312416555404
BHP Group,Random Walk,0.4693803191442948,0.3541213333333334,0.9997809180946412,1.2298762803036931,49.799732977303066
BHP Group,Random Walk + Drift,0.4694508755406164,0.3541602501509983,0.9998907908643164,1.2299218427761986,49.799732977303066
BHP Group,Selected ARX,0.4696520336325274,0.3548827951124233,1.0019307319717845,1.2329165714100732,50.60080106809078
BHP Group,VMD-GRU,0.9924592684897912,0.7290535887426511,2.0583167340760435,2.494005800419328,51.00133511348465
BHP Group,VMD-LASSO-ARX/LSTM,1.0109987245348522,0.7881365940997042,2.2251241409714155,2.7508809864106776,53.271028037383175
