Target,Candidate,Method,Configured Modes,Returned Component,VMD Alpha,Selected Route,Development RMSE,Development MAE,Selection Score,ARIMA Order,Selected Feature Count,Selected Features
lithium_hydroxide,VMD-K8-A1500,VMD,8,4,1500.0,ARIMA,0.0066497750971967,0.0017498075234258,0.1532913725561314,"(5, 0, 4)",10,target_1 | target_3 | target_2 | target_5 | News_FinBERT_Score | News_Article_Count | VIX | News_TextBlob_Polarity | Trends_lithium_carbonate | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,5,1500.0,ARIMA,0.0078530001429462,0.0022831442393546,0.4635812525998519,"(5, 0, 4)",6,target_1 | target_2 | target_4 | target_5 | VIX | News_TextBlob_Polarity
lithium_hydroxide,VMD-K8-A1500,VMD,8,6,1500.0,ARIMA,0.003554554700518,0.0024631767922132,0.2029777091649514,"(2, 0, 2)",6,target_2 | target_4 | target_1 | target_3 | Cross_Lithium_Close | VIX
lithium_hydroxide,VMD-K8-A1500,VMD,8,7,1500.0,ARIMA,0.0023428458902304,0.0014292438158915,0.1532657887912045,"(2, 0, 1)",8,target_1 | target_2 | target_4 | target_5 | News_FinBERT_Score | VIX | Cross_Lithium_Close | News_Article_Count
lithium_hydroxide,VMD-K8-A1500,VMD,8,8,1500.0,ARIMA,0.0020520050293346,0.0009966344223601,0.1438434993272614,"(4, 0, 1)",7,target_1 | target_2 | target_3 | News_FinBERT_Score | News_Article_Count | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A1500,VMD,8,9,1500.0,ARIMA,0.0281396305157015,0.0209650250703735,1.068423520000544,"(2, 0, 3)",5,target_1 | target_5 | target_2 | target_4 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,1,3000.0,ARIMA,0.8883147671469815,0.1179233585961213,2.320984735947629,"(2, 2, 2)",2,target_1 | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,2,3000.0,SVR,0.0132204879219684,0.0100710170647024,0.1643478128503331,,1,target_1
lithium_hydroxide,VMD-K8-A3000,VMD,8,3,3000.0,RF,0.011141950952657,0.0083464076356889,0.0742484750259962,,4,target_1 | target_5 | Cross_Lithium_Close | Ganfeng_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,4,3000.0,ARIMA,0.0078103464528607,0.0016345329608193,0.1899341132009492,"(4, 0, 2)",10,target_1 | target_3 | target_2 | target_5 | News_TextBlob_Polarity | News_FinBERT_Score | News_Article_Count | Trends_lithium_carbonate | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,5,3000.0,ARIMA,0.0019445971068292,0.0012975325841892,0.1284165277137901,"(4, 0, 3)",9,target_2 | target_4 | target_5 | target_1 | VIX | News_TextBlob_Polarity | News_Article_Count | News_FinBERT_Score | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,6,3000.0,ARIMA,0.0018755401568394,0.001464725533713,0.1864812981834173,"(2, 0, 2)",8,target_2 | target_1 | target_4 | target_5 | target_3 | News_Article_Count | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,7,3000.0,RF,0.0034468112837142,0.002801665135651,0.2542524069087481,,5,target_1 | target_2 | News_FinBERT_Score | VIX | Cross_Lithium_Close
lithium_hydroxide,VMD-K8-A3000,VMD,8,8,3000.0,ARIMA,0.0027239781581621,0.0007342821336172,0.1942912927170648,"(2, 0, 4)",8,target_1 | target_2 | target_3 | target_5 | News_Article_Count | News_FinBERT_Score | VIX | Cross_Lithium_Close
