Target,Model,Date,Actual,Forecast,Lower,Upper,Width
lithium_carbonate,ARIMA,2025-10-10,73550.0,135885.96369864524,77898.63577373576,193873.29162355472,57987.32792490948
lithium_carbonate,ARIMA,2025-10-13,73100.0,137335.5087596716,79348.18083476211,195322.83668458107,57987.32792490948
lithium_carbonate,ARIMA,2025-10-14,73000.0,138785.0537760687,80797.72585115922,196772.38170097818,57987.32792490948
lithium_carbonate,ARIMA,2025-10-15,73000.0,140234.59876373585,82247.27083882637,198221.92668864533,57987.32792490948
lithium_carbonate,ARIMA,2025-10-16,73000.0,141684.14373290807,83696.81580799859,199671.47165781754,57987.32792490948
lithium_carbonate,ARIMA,2025-10-17,73350.0,143133.68869017425,85146.36076526478,201121.01661508373,57987.32792490948
lithium_carbonate,ARIMA,2025-10-20,74000.0,144583.23363977592,86595.90571486644,202570.5615646854,57987.32792490948
lithium_carbonate,ARIMA,2025-10-21,74100.0,146032.77858444356,88045.45065953408,204020.10650935303,57987.32792490948
lithium_carbonate,ARIMA,2025-10-22,74350.0,147482.32352593495,89494.99560102547,205469.65145084442,57987.32792490948
lithium_carbonate,ARIMA,2025-10-23,74800.0,148931.8684653816,90944.54054047211,206919.19639029106,57987.32792490948
lithium_carbonate,ARIMA,2025-10-24,75400.0,150381.41340351195,92394.08547860247,208368.74132842143,57987.32792490948
lithium_carbonate,ARIMA,2025-10-27,76550.0,151830.95834079498,93843.6304158855,209818.28626570446,57987.32792490948
lithium_carbonate,ARIMA,2025-10-28,78500.0,153280.5032775325,95293.17535262302,211267.83120244197,57987.32792490948
lithium_carbonate,ARIMA,2025-10-29,79150.0,154730.04821391887,96742.72028900939,212717.37613882835,57987.32792490948
lithium_carbonate,ARIMA,2025-10-30,80000.0,156179.5931500792,98192.26522516971,214166.92107498867,57987.32792490948
lithium_carbonate,ARIMA,2025-10-31,80550.0,157629.138086094,99641.81016118452,215616.46601100347,57987.32792490948
lithium_carbonate,ARIMA,2025-11-03,81000.0,159078.6830220151,101091.35509710561,217066.01094692457,57987.32792490948
lithium_carbonate,ARIMA,2025-11-04,80900.0,160528.2279578759,102540.90003296643,218515.55588278538,57987.32792490948
lithium_carbonate,ARIMA,2025-11-05,80500.0,161977.7728936979,103990.44496878842,219965.10081860737,57987.32792490948
lithium_carbonate,ARIMA,2025-11-06,80400.0,163427.3178294949,105439.98990458541,221414.64575440437,57987.32792490948
lithium_carbonate,ARIMA,2025-11-07,80400.0,164876.8627652758,106889.53484036631,222864.19069018526,57987.32792490948
lithium_carbonate,ARIMA,2025-11-10,80750.0,166326.40770104635,108339.07977613687,224313.73562595583,57987.32792490948
lithium_carbonate,ARIMA,2025-11-11,82300.0,167775.95263681022,109788.62471190075,225763.2805617197,57987.32792490948
lithium_carbonate,ARIMA,2025-11-12,83300.0,169225.49757256982,111238.16964766034,227212.8254974793,57987.32792490948
lithium_carbonate,ARIMA,2025-11-13,84350.0,170675.04250832665,112687.71458341717,228662.37043323612,57987.32792490948
lithium_carbonate,ARIMA,2025-11-14,85150.0,172124.5874440817,114137.25951917222,230111.91536899118,57987.32792490948
lithium_carbonate,ARIMA,2025-11-17,86150.0,173574.1323798356,115586.80445492611,231561.46030474507,57987.32792490948
lithium_carbonate,ARIMA,2025-11-18,87400.0,175023.67731558875,117036.34939067927,233011.00524049823,57987.32792490948
lithium_carbonate,ARIMA,2025-11-19,88900.0,176473.22225134145,118485.89432643197,234460.55017625092,57987.32792490948
lithium_carbonate,ARIMA,2025-11-20,91300.0,177922.76718709382,119935.43926218434,235910.0951120033,57987.32792490948
lithium_carbonate,ARIMA,2025-11-21,92300.0,179372.31212284602,121384.98419793654,237359.6400477555,57987.32792490948
lithium_carbonate,ARIMA,2025-11-24,92150.0,180821.85705859808,122834.5291336886,238809.18498350756,57987.32792490948
lithium_carbonate,ARIMA,2025-11-25,92050.0,182271.40199435005,124284.07406944057,240258.72991925952,57987.32792490948
lithium_carbonate,ARIMA,2025-11-26,92800.0,183720.94693010199,125733.61900519251,241708.27485501146,57987.32792490948
lithium_carbonate,ARIMA,2025-11-27,93300.0,185170.49186585387,127183.16394094439,243157.81979076334,57987.32792490948
lithium_carbonate,ARIMA,2025-11-28,93750.0,186620.03680160572,128632.70887669624,244607.3647265152,57987.32792490948
lithium_carbonate,ARIMA,2025-12-01,94350.0,188069.5817373576,130082.25381244812,246056.90966226708,57987.32792490948
lithium_carbonate,ARIMA,2025-12-02,94400.0,189519.12667310945,131531.79874819997,247506.45459801893,57987.32792490948
lithium_carbonate,ARIMA,2025-12-03,94350.0,190968.6716088613,132981.34368395183,248955.99953377078,57987.32792490948
lithium_carbonate,ARIMA,2025-12-04,94000.0,192418.21654461313,134430.88861970365,250405.5444695226,57987.32792490948
lithium_carbonate,ARIMA,2025-12-05,93250.0,193867.76148036495,135880.43355545547,251855.08940527443,57987.32792490948
lithium_carbonate,ARIMA,2025-12-08,92750.0,195317.30641611683,137329.97849120735,253304.6343410263,57987.32792490948
lithium_carbonate,ARIMA,2025-12-09,92750.0,196766.85135186865,138779.52342695917,254754.17927677813,57987.32792490948
lithium_carbonate,ARIMA,2025-12-10,92700.0,198216.39628762048,140229.068362711,256203.72421252995,57987.32792490948
lithium_carbonate,ARIMA,2025-12-11,93500.0,199665.9412233723,141678.61329846282,257653.26914828178,57987.32792490948
lithium_carbonate,ARIMA,2025-12-12,94500.0,201115.48615912412,143128.15823421464,259102.8140840336,57987.32792490948
lithium_carbonate,ARIMA,2025-12-15,95150.0,202565.03109487594,144577.70316996647,260552.35901978542,57987.32792490948
lithium_carbonate,ARIMA,2025-12-16,95850.0,204014.57603062777,146027.2481057183,262001.90395553724,57987.32792490948
lithium_carbonate,ARIMA,2025-12-17,97050.0,205464.1209663796,147476.7930414701,263451.44889128907,57987.32792490948
lithium_carbonate,ARIMA,2025-12-18,97550.0,206913.66590213144,148926.33797722196,264900.9938270409,57987.32792490948
lithium_carbonate,ARIMA,2025-12-19,97650.0,208363.21083788326,150375.8829129738,266350.5387627927,57987.32792490948
lithium_carbonate,ARIMA,2025-12-22,99000.0,209812.7557736351,151825.4278487256,267800.08369854453,57987.32792490948
lithium_carbonate,ARIMA,2025-12-23,99500.0,211262.30070938694,153274.97278447746,269249.6286342964,57987.32792490948
lithium_carbonate,ARIMA,2025-12-24,101500.0,212711.84564513876,154724.51772022928,270699.17357004824,57987.32792490948
lithium_carbonate,ARIMA,2025-12-25,104900.0,214161.39058089058,156174.0626559811,272148.71850580006,57987.32792490948
lithium_carbonate,ARIMA,2025-12-26,111900.0,215610.9355166424,157623.60759173293,273598.2634415519,57987.32792490948
lithium_carbonate,ARIMA,2025-12-29,118000.0,217060.48045239423,159073.15252748475,275047.8083773037,57987.32792490948
lithium_carbonate,ARIMA,2025-12-30,118000.0,218510.02538814605,160522.69746323657,276497.35331305553,57987.32792490948
lithium_carbonate,ARIMA,2025-12-31,118500.0,219959.57032389787,161972.2423989884,277946.89824880735,57987.32792490948
lithium_carbonate,ARIMA,2026-01-05,119500.0,221409.1152596497,163421.78733474022,279396.4431845592,57987.32792490948
lithium_carbonate,ARIMA,2026-01-06,127500.0,222858.66019540155,164871.33227049207,280845.98812031106,57987.32792490948
lithium_carbonate,ARIMA,2026-01-07,133500.0,224308.20513115337,166320.8772062439,282295.5330560629,57987.32792490948
lithium_carbonate,ARIMA,2026-01-08,138500.0,225757.7500669052,167770.42214199572,283745.0779918147,57987.32792490948
lithium_carbonate,ARIMA,2026-01-09,140000.0,227207.29500265705,169219.96707774757,285194.6229275665,57987.32792490948
lithium_carbonate,ARIMA,2026-01-12,152000.0,228656.83993840887,170669.5120134994,286644.16786331835,57987.32792490948
lithium_carbonate,ARIMA,2026-01-13,159500.0,230106.3848741607,172119.05694925121,288093.71279907017,57987.32792490948
lithium_carbonate,ARIMA,2026-01-14,163000.0,231555.92980991252,173568.60188500304,289543.257734822,57987.32792490948
lithium_carbonate,ARIMA,2026-01-15,159000.0,233005.47474566434,175018.14682075486,290992.8026705738,57987.32792490948
lithium_carbonate,ARIMA,2026-01-16,158000.0,234455.01968141616,176467.69175650668,292442.34760632564,57987.32792490948
lithium_carbonate,ARIMA,2026-01-19,151000.0,235904.56461716798,177917.2366922585,293891.89254207746,57987.32792490948
lithium_carbonate,ARIMA,2026-01-20,152500.0,237354.1095529198,179366.78162801033,295341.4374778293,57987.32792490948
lithium_carbonate,ARIMA,2026-01-21,158500.0,238803.65448867166,180816.32656376218,296790.9824135811,57987.32792490948
lithium_carbonate,ARIMA,2026-01-22,164500.0,240253.19942442348,182265.871499514,298240.52734933293,57987.32792490948
lithium_carbonate,ARIMA,2026-01-23,171000.0,241702.7443601753,183715.41643526583,299690.07228508475,57987.32792490948
lithium_carbonate,ARIMA,2026-01-26,181500.0,243152.28929592716,185164.96137101768,301139.61722083663,57987.32792490948
lithium_carbonate,ARIMA,2026-01-27,172500.0,244601.83423167898,186614.5063067695,302589.16215658846,57987.32792490948
lithium_carbonate,ARIMA,2026-01-28,172000.0,246051.3791674308,188064.05124252132,304038.7070923403,57987.32792490948
lithium_carbonate,ARIMA,2026-01-29,168000.0,247500.92410318262,189513.59617827315,305488.2520280921,57987.32792490948
lithium_carbonate,ARIMA,2026-01-30,160500.0,248950.46903893445,190963.14111402497,306937.7969638439,57987.32792490948
lithium_carbonate,ARIMA,2026-02-02,155500.0,250400.01397468627,192412.6860497768,308387.34189959575,57987.32792490948
lithium_carbonate,ARIMA,2026-02-03,153500.0,251849.5589104381,193862.23098552861,309836.88683534757,57987.32792490948
lithium_carbonate,ARIMA,2026-02-04,153000.0,253299.10384618994,195311.77592128047,311286.43177109945,57987.32792490948
lithium_carbonate,ARIMA,2026-02-05,144000.0,254748.64878194177,196761.3208570323,312735.9767068513,57987.32792490948
lithium_carbonate,ARIMA,2026-02-06,134500.0,256198.1937176936,198210.8657927841,314185.5216426031,57987.32792490948
lithium_carbonate,ARIMA,2026-02-09,135500.0,257647.7386534454,199660.41072853594,315635.0665783549,57987.32792490948
lithium_carbonate,ARIMA,2026-02-10,136000.0,259097.28358919724,201109.95566428776,317084.61151410674,57987.32792490948
lithium_carbonate,ARIMA,2026-02-11,138000.0,260546.8285249491,202559.5006000396,318534.15644985856,57987.32792490948
lithium_carbonate,ARIMA,2026-02-12,142500.0,261996.3734607009,204009.04553579143,319983.7013856104,57987.32792490948
lithium_carbonate,ARIMA,2026-02-13,143750.0,263445.91839645273,205458.59047154326,321433.2463213622,57987.32792490948
lithium_carbonate,ARIMA,2026-02-24,152000.0,264895.46333220456,206908.13540729508,322882.79125711403,57987.32792490948
lithium_carbonate,ARIMA,2026-02-25,161750.0,266345.00826795644,208357.68034304696,324332.3361928659,57987.32792490948
lithium_carbonate,ARIMA,2026-02-26,173000.0,267794.55320370826,209807.22527879878,325781.88112861774,57987.32792490948
lithium_carbonate,ARIMA,2026-02-27,172000.0,269244.0981394601,211256.7702145506,327231.42606436956,57987.32792490948
lithium_carbonate,ARIMA,2026-03-02,172500.0,270693.6430752119,212706.31515030243,328680.9710001214,57987.32792490948
lithium_carbonate,ARIMA,2026-03-03,161000.0,272143.1880109638,214155.8600860543,330130.51593587326,57987.32792490948
lithium_carbonate,ARIMA,2026-03-04,154000.0,273592.7329467156,215605.40502180613,331580.0608716251,57987.32792490948
lithium_carbonate,ARIMA,2026-03-05,156000.0,275042.2778824675,217054.949957558,333029.60580737697,57987.32792490948
