Target,Model,Model Class,Scored Rows,RMSE,MAE,MASE,MAPE,Directional Accuracy,sMAPE
lithium_carbonate,ARIMA,Single,136,83981.14924461115,78019.63420640143,38.995374371951826,75.25940203586322,54.074074074074076,52.93345276311451
lithium_carbonate,CEEMDAN-ARIMA,Decomposition,136,1439807833.9678283,499179946.1668525,249497.5665772864,328267.3083179669,34.074074074074076,165.68249482253765
lithium_carbonate,CEEMDAN-LSTM,Decomposition,136,49806.50170537333,35536.83335248162,17.761838217641674,26.916437821800905,50.37037037037037,34.442166584793135
lithium_carbonate,ELM,Single,136,62735.32823238289,56556.02314736903,28.267542113642413,52.40193812067654,52.59259259259259,75.08603828685351
lithium_carbonate,ES,Single,136,200333.63080847907,180333.9848133795,90.13360958832367,165.3024343072935,54.074074074074076,86.52290674594022
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Decomposition,136,42119.01929450091,30127.97207562276,15.058408849348654,22.959195033320757,54.074074074074076,28.100191956854292
lithium_carbonate,LSTM,Single,136,48584.25778239233,44489.79974724265,22.236664072113125,50.88401674464536,48.888888888888886,38.231524842545014
lithium_carbonate,MLP,Single,136,169207.64000073605,158115.97897808164,79.02871959289527,159.23524994481866,40.74074074074074,183.22143226944297
lithium_carbonate,Proposed Adaptive Decomposition-Routing Ensemble,Decomposition,136,2902.4464760730048,1985.3248696209794,0.9922949181741285,1.7624863431627849,74.81481481481481,1.7699982342717369
lithium_carbonate,RF,Single,136,6887.048074322777,4510.819485294121,2.2545747149748463,3.7596976746945066,65.92592592592592,3.8121523928577314
lithium_carbonate,Random Walk,Robustness,136,3497.383475753065,1991.1764705882354,0.9952196354291435,1.5285406511042794,74.81481481481481,1.537314951720337
lithium_carbonate,SVR,Single,136,38028.967246698405,35982.860481779244,17.984769215254335,38.73738688327433,52.59259259259259,32.66127699292575
lithium_carbonate,VMD-ARIMA,Decomposition,136,41148.26547775406,28708.412652033287,14.34889192160123,21.488782582474446,50.37037037037037,26.302025845341397
lithium_carbonate,VMD-LSTM,Decomposition,136,45866.59154007177,31240.24528952206,15.614339556036565,22.926793546649048,15.555555555555555,28.982698234630217
lithium_hydroxide,ARIMA,Single,141,5.011479280984311,3.4811778240311773,19.127350681384897,22.286687935183082,35.0,27.563209614011413
lithium_hydroxide,CEEMDAN-ARIMA,Decomposition,141,83.09838623072739,68.52458565632871,376.5087123953419,498.55485436991273,21.428571428571427,173.8210564361029
lithium_hydroxide,CEEMDAN-LSTM,Decomposition,141,6.038555036497377,4.643179650813976,25.511976103233327,31.96574051994881,31.428571428571427,40.19432082381466
lithium_hydroxide,ELM,Single,141,3.2347134193497697,2.2780809795176937,12.516928458819656,15.223909980654984,22.142857142857142,17.49641758262842
lithium_hydroxide,ES,Single,141,4.894774327184455,3.371968762717916,18.527300893952688,21.474638305169748,35.0,26.45089876079556
lithium_hydroxide,Fixed VMD-LASSO-ARIMA/LSTM,Decomposition,141,5.919783414873147,4.457887190931981,24.493885664326857,30.06603924183337,28.57142857142857,38.30869106000216
lithium_hydroxide,LSTM,Single,141,2.040206855481475,1.674448325515639,9.200265524760656,12.769682673394122,33.57142857142857,11.79335723325467
lithium_hydroxide,MLP,Single,141,4.895139201867017,4.283927422062397,23.538062758455276,32.716259661528156,37.142857142857146,27.533553420936542
lithium_hydroxide,Proposed Adaptive Decomposition-Routing Ensemble,Decomposition,141,0.2853746863050031,0.20403570565519152,1.1210753057915963,1.5316682552531824,44.285714285714285,1.5427759023165484
lithium_hydroxide,RF,Single,141,1.2568970435470177,0.8806692637622457,4.838842108557182,6.08078133771223,33.57142857142857,5.845536116684881
lithium_hydroxide,Random Walk,Robustness,141,0.5496001125254101,0.181063829787234,0.9948562076166989,1.1922744558908598,41.42857142857143,1.2407706404087389
lithium_hydroxide,SVR,Single,141,5.039392873130929,4.544954815557474,24.97227920622254,39.12286382119666,30.0,31.18321431093773
lithium_hydroxide,VMD-ARIMA,Decomposition,141,5.946276214402231,4.486934498729177,24.65348625661827,30.302277560661096,23.57142857142857,38.652909957307955
lithium_hydroxide,VMD-LSTM,Decomposition,141,5.75435392363118,4.26367100681819,23.426763773597607,28.5769047431553,26.42857142857143,35.92073719700795
