Target,Model,Scheme,Transaction Cost,Cumulative Return (%),Average Daily Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
lithium_carbonate,ARIMA,Scheme 1,0.0,114.81985044187621,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ARIMA,Scheme 1',0.0,114.81985044187621,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ARIMA,Scheme 2,0.001,114.60503059143426,0.7863807205059539,-25.895316804407713,4.683983516774416,1,64.70588235294117
lithium_carbonate,ARIMA,Scheme 2',0.001,114.60503059143426,0.7863807205059539,-25.895316804407713,4.683983516774416,1,64.70588235294117
lithium_carbonate,CEEMDAN-ARIMA,Scheme 1,0.0,-23.82751890385364,-0.22825833265990936,-45.6152448640152,-1.3079654246155863,6,41.17647058823529
lithium_carbonate,CEEMDAN-ARIMA,Scheme 1',0.0,-24.217007924257295,-0.23342439391818645,-46.10139155353116,-1.3402502417623137,7,38.23529411764706
lithium_carbonate,CEEMDAN-ARIMA,Scheme 2,0.001,-24.64901651869871,-0.23904264638539954,-45.939289971765874,-1.3731517855604551,6,41.17647058823529
lithium_carbonate,CEEMDAN-ARIMA,Scheme 2',0.001,-24.884410212321463,-0.24224792332995113,-46.31547974687992,-1.3942657869383766,7,38.23529411764706
lithium_carbonate,CEEMDAN-LSTM,Scheme 1,0.0,-56.94995922645556,-0.7873611126628165,-61.48137047189406,-4.690370291208189,1,29.411764705882355
lithium_carbonate,CEEMDAN-LSTM,Scheme 1',0.0,-54.000380286083015,-0.722954819959162,-58.533799075605366,-4.31103707810969,1,27.450980392156865
lithium_carbonate,CEEMDAN-LSTM,Scheme 2,0.001,-56.99300926722908,-0.7883415048196794,-61.481370471894046,-4.696693763214292,1,29.411764705882355
lithium_carbonate,CEEMDAN-LSTM,Scheme 2',0.001,-54.04676397455497,-0.7239352121160247,-58.575611494006964,-4.316790009985892,1,27.450980392156865
lithium_carbonate,ELM,Scheme 1,0.0,-56.94995922645556,-0.7873611126628165,-61.48137047189406,-4.690370291208189,1,29.411764705882355
lithium_carbonate,ELM,Scheme 1',0.0,2.5378672531671143,0.04589797525396358,-23.31199223042512,0.351176386503419,15,18.627450980392158
lithium_carbonate,ELM,Scheme 2,0.001,-56.99300926722908,-0.7883415048196794,-61.481370471894046,-4.696693763214292,1,29.411764705882355
lithium_carbonate,ELM,Scheme 2',0.001,1.0036320090679007,0.031192092901022424,-23.31199223042512,0.23825707762786158,15,18.627450980392158
lithium_carbonate,ES,Scheme 1,0.0,114.81985044187621,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ES,Scheme 1',0.0,114.81985044187621,0.7873611126628165,-25.89531680440772,4.690370291208189,1,64.70588235294117
lithium_carbonate,ES,Scheme 2,0.001,114.60503059143426,0.7863807205059539,-25.895316804407713,4.683983516774416,1,64.70588235294117
lithium_carbonate,ES,Scheme 2',0.001,114.60503059143426,0.7863807205059539,-25.895316804407713,4.683983516774416,1,64.70588235294117
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1,0.0,-56.94995922645556,-0.7873611126628165,-61.48137047189406,-4.690370291208189,1,29.411764705882355
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1',0.0,-41.78420912360332,-0.4937833494960098,-47.521573081116955,-2.9580888472828084,1,17.647058823529413
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2,0.001,-56.99300926722908,-0.7883415048196794,-61.481370471894046,-4.696693763214292,1,29.411764705882355
lithium_carbonate,Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2',0.001,-41.84272042610851,-0.4947637416528726,-47.574317895989736,-2.9639366447283995,1,17.647058823529413
lithium_carbonate,LSTM,Scheme 1,0.0,116.0579426031692,0.7929951716365876,-25.89531680440772,4.726926504778801,3,64.70588235294117
