Company,Partition,Origin Date,Model Fit Origin Date,Date,Origin Price,Actual,Model,Forecast,Interval Width,Lower,Upper,Predicted Return,Threshold
Glencore,calibration,2024-08-21,2024-08-21,2024-08-22,5.41,5.3,Random Walk,5.41,,,,0.0,0.0
Glencore,calibration,2024-08-21,2024-08-21,2024-08-22,5.41,5.3,ARIMA,5.416242662064914,,,,0.0011539116571004468,0.1
Glencore,calibration,2024-08-21,2024-08-21,2024-08-22,5.41,5.3,Paper-Style Causal VMD-ARIMA/LSTM,5.392769315878012,,,,-0.0031849693386299493,0.25
Glencore,calibration,2024-08-22,2024-08-21,2024-08-23,5.3,5.43,Random Walk,5.3,,,,0.0,0.0
Glencore,calibration,2024-08-22,2024-08-21,2024-08-23,5.3,5.43,ARIMA,5.291057944968894,,,,-0.0016871801945483249,0.1
Glencore,calibration,2024-08-22,2024-08-21,2024-08-23,5.3,5.43,Paper-Style Causal VMD-ARIMA/LSTM,5.12209695883007,,,,-0.033566611541496115,0.25
Glencore,calibration,2024-08-23,2024-08-21,2024-08-27,5.43,5.44,Random Walk,5.43,0.1299999999999999,5.3,5.56,0.0,0.0
Glencore,calibration,2024-08-23,2024-08-21,2024-08-27,5.43,5.44,ARIMA,5.441818440701114,0.13894205503110602,5.302876385670008,5.58076049573222,0.002176508416411528,0.1
Glencore,calibration,2024-08-23,2024-08-21,2024-08-27,5.43,5.44,Paper-Style Causal VMD-ARIMA/LSTM,5.623256810296971,0.3079030411699293,5.315353769127042,5.931159851466901,0.03559057279870564,0.25
Glencore,calibration,2024-08-27,2024-08-21,2024-08-28,5.44,5.34,Random Walk,5.44,0.1299999999999999,5.3100000000000005,5.57,0.0,0.0
Glencore,calibration,2024-08-27,2024-08-21,2024-08-28,5.44,5.34,ARIMA,5.431137113731343,0.13894205503110602,5.292195058700237,5.570079168762449,-0.0016292070346796464,0.1
Glencore,calibration,2024-08-27,2024-08-21,2024-08-28,5.44,5.34,Paper-Style Causal VMD-ARIMA/LSTM,5.403661535038036,0.3079030411699293,5.095758493868106,5.711564576207965,-0.006679864882714097,0.25
Glencore,calibration,2024-08-28,2024-08-21,2024-08-29,5.34,5.27,Random Walk,5.34,0.1299999999999999,5.21,5.47,0.0,0.0
Glencore,calibration,2024-08-28,2024-08-21,2024-08-29,5.34,5.27,ARIMA,5.337194833274232,0.13894205503110602,5.198252778243126,5.476136888305338,-0.0005253121209303005,0.1
Glencore,calibration,2024-08-28,2024-08-21,2024-08-29,5.34,5.27,Paper-Style Causal VMD-ARIMA/LSTM,5.229408721427007,0.3079030411699293,4.921505680257078,5.537311762596937,-0.02070997726086003,0.25
Glencore,calibration,2024-08-29,2024-08-21,2024-08-30,5.27,5.26,Random Walk,5.27,0.1299999999999999,5.14,5.3999999999999995,0.0,0.0
Glencore,calibration,2024-08-29,2024-08-21,2024-08-30,5.27,5.26,ARIMA,5.273622073262245,0.13894205503110602,5.134680018231139,5.412564128293351,0.0006873004292685339,0.1
Glencore,calibration,2024-08-29,2024-08-21,2024-08-30,5.27,5.26,Paper-Style Causal VMD-ARIMA/LSTM,5.2139939905333055,0.3079030411699293,4.906090949363376,5.521897031703235,-0.010627326274515009,0.25
Glencore,calibration,2024-08-30,2024-08-21,2024-09-02,5.26,5.26,Random Walk,5.26,0.1299999999999999,5.13,5.39,0.0,0.0
Glencore,calibration,2024-08-30,2024-08-21,2024-09-02,5.26,5.26,ARIMA,5.26382156197317,0.13894205503110602,5.124879506942064,5.402763617004276,0.0007265326945191099,0.1
Glencore,calibration,2024-08-30,2024-08-21,2024-09-02,5.26,5.26,Paper-Style Causal VMD-ARIMA/LSTM,5.261844885459199,0.3079030411699293,4.95394184428927,5.5697479266291285,0.0003507386804561739,0.25
Glencore,calibration,2024-09-02,2024-08-21,2024-09-03,5.26,5.04,Random Walk,5.26,0.1299999999999999,5.13,5.39,0.0,0.0
Glencore,calibration,2024-09-02,2024-08-21,2024-09-03,5.26,5.04,ARIMA,5.260740758663116,0.13894205503110602,5.12179870363201,5.399682813694222,0.0001408286431779179,0.1
Glencore,calibration,2024-09-02,2024-08-21,2024-09-03,5.26,5.04,Paper-Style Causal VMD-ARIMA/LSTM,5.2597669317251246,0.3079030411699293,4.951863890555195,5.567669972895054,-4.4309557961071604e-05,0.25
Glencore,calibration,2024-09-03,2024-08-21,2024-09-04,5.04,5.0,Random Walk,5.04,0.21999999999999975,4.82,5.26,0.0,0.0
Glencore,calibration,2024-09-03,2024-08-21,2024-09-04,5.04,5.0,ARIMA,5.03316874728914,0.2207407586631156,4.812427988626024,5.253909505952255,-0.0013554072839008472,0.1
Glencore,calibration,2024-09-03,2024-08-21,2024-09-04,5.04,5.0,Paper-Style Causal VMD-ARIMA/LSTM,4.763885468342244,0.3079030411699293,4.455982427172315,5.0717885095121735,-0.054784629297173766,0.25
Glencore,calibration,2024-09-04,2024-08-21,2024-09-05,5.0,5.0,Random Walk,5.0,0.21999999999999975,4.78,5.22,0.0,0.0
Glencore,calibration,2024-09-04,2024-08-21,2024-09-05,5.0,5.0,ARIMA,5.012925256436371,0.2207407586631156,4.792184497773255,5.2336660150994865,0.002585051287274176,0.1
Glencore,calibration,2024-09-04,2024-08-21,2024-09-05,5.0,5.0,Paper-Style Causal VMD-ARIMA/LSTM,5.0160203823646485,0.3079030411699293,4.708117341194719,5.323923423534578,0.003204076472929707,0.25
Glencore,calibration,2024-09-05,2024-08-21,2024-09-06,5.0,4.82,Random Walk,5.0,0.21999999999999975,4.78,5.22,0.0,0.0
Glencore,calibration,2024-09-05,2024-08-21,2024-09-06,5.0,4.82,ARIMA,5.001687692468744,0.2207407586631156,4.7809469338056285,5.22242845113186,0.0003375384937488235,0.1
Glencore,calibration,2024-09-05,2024-08-21,2024-09-06,5.0,4.82,Paper-Style Causal VMD-ARIMA/LSTM,4.987552267898753,0.3079030411699293,4.679649226728824,5.295455309068682,-0.0024895464202494113,0.25
Glencore,calibration,2024-09-06,2024-08-21,2024-09-09,4.82,4.84,Random Walk,4.82,0.21999999999999975,4.6000000000000005,5.04,0.0,0.0
