Target,Ablation,Protocol,Scored Rows,Model RMSE,Model MAE,Model MASE,Model MAPE,Model Directional Accuracy,Random Walk RMSE,Random Walk MAE,Random Walk MASE,Random Walk MAPE,Random Walk Directional Accuracy,DM Statistic vs Random Walk,DM p-value vs Random Walk
lithium_hydroxide,history_only,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,0.31788709205653254,0.22079469940695512,1.2194301847320304,1.652098701542703,44.680851063829785,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,-1.339407263074698,0.18259312058539745
lithium_hydroxide,history_plus_cross_lithium,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,7.588878229205624,7.555132880515775,41.7263508087286,67.30466292704526,43.97163120567376,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,45.55911881571651,0.0
lithium_hydroxide,history_plus_equities,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,7.713603325621005,7.689824974040294,42.470243687179526,68.13304295999973,41.843971631205676,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,53.65507054580106,0.0
lithium_hydroxide,history_plus_attention,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,0.39404466727821874,0.2672868008753773,1.4762020729815928,1.9128008085594925,41.843971631205676,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,-0.9916178881824508,0.323082616314434
lithium_hydroxide,history_plus_news,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,0.3354107530749588,0.23324131615540253,1.2881717813446976,1.7614722229208124,43.262411347517734,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,-1.2604778004166652,0.2095789871274376
lithium_hydroxide,history_plus_market_controls,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,7.647248534590815,7.62116589565789,42.091045486949774,67.63740657892247,41.13475177304964,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,51.64104575666894,0.0
lithium_hydroxide,full_multimodal,Liu-style full-sample VMD static 80:20 protocol (noncausal),142,0.38476481485785874,0.2725700210938432,1.5053808450458144,2.0475693811743856,44.680851063829785,0.5476640534971762,0.17992957746478866,0.9937356217154363,1.1855548839345524,41.843971631205676,-1.0261664130679835,0.3065703740201553
lithium_carbonate,history_only,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,3876.667597428686,1978.6249564745376,0.9936964330891321,1.6296407048986272,75.0,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,0.4290765131054669,0.6685464661215585
lithium_carbonate,history_plus_cross_lithium,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,3122.9094128137326,2019.8615098437049,1.0144060758446962,1.6566742455300703,76.47058823529412,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,-1.14776507428682,0.25308053948515474
lithium_carbonate,history_plus_equities,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,3818.930922074036,2662.3204028138775,1.3370589910734385,2.314075214084268,71.32352941176471,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,0.793047686552782,0.42913138669288475
lithium_carbonate,history_plus_attention,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,3622.45944053154,1980.577483036467,0.9946770224998499,1.6520063224728752,75.73529411764706,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,0.18969721874545384,0.8498292321632395
lithium_carbonate,history_plus_news,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,4012.6142039739793,2122.211658095745,1.0658079228250412,1.7511515649968583,74.26470588235294,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,0.5862083525462212,0.5587071721920278
lithium_carbonate,history_plus_market_controls,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,3216.893222358179,1942.5932328469892,0.9756007373234505,1.5248858425027216,75.0,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,-0.7697633533663387,0.4427752354918906
lithium_carbonate,full_multimodal,Liu-style full-sample VMD static 80:20 protocol (noncausal),137,3218.368242545449,2001.8085050362292,1.005339574168859,1.6011283405143402,74.26470588235294,3485.643129925535,1983.941605839416,0.9963665376446103,1.5262849689438245,75.0,-0.8545412642897318,0.3943079521101658
