Company,Observations,Start,End,Mean Close,Std. Dev.,Minimum,Maximum
Glencore,3751,2011-05-19,2026-03-20,4.439640095974407,1.3937709629279904,0.97,8.32
BHP Group,3751,2011-05-19,2026-03-20,24.371098906958142,6.05047381960136,8.378,42.014
Rio Tinto,3751,2011-05-19,2026-03-20,62.02659370834445,17.437340620318697,24.026,120.15
Freeport-McMoRan,3751,2011-05-19,2026-03-20,28.398221807518,13.727060016764513,3.74,68.82
Albemarle,3751,2011-05-19,2026-03-20,106.68357504665421,60.690651954006064,39.0,325.38
Zijin Mining,3751,2011-05-19,2026-03-20,0.9324630765129299,0.9747053301911093,0.177,5.912
Ganfeng Lithium,3751,2011-05-19,2026-03-20,4.796843774993335,4.722544420753207,0.309,24.324
Anglo American,3751,2011-05-19,2026-03-20,26.002084777392696,9.95711615408184,2.98,53.42
