Year,Candidate records,Status
2011,9484,ok
2012,0,unavailable:HTTPError
2013,0,unavailable:HTTPError
2014,13958,ok
2015,14839,ok
2016,0,unavailable:HTTPError
2017,17136,ok
2018,18967,ok
2019,22029,ok
2020,0,unavailable:HTTPError
2021,27955,ok
2022,0,unavailable:HTTPError
2023,37286,ok
2024,44506,ok
2025,56248,ok
2026,39037,ok
