Target,Method,Mode,Frequency,Average Period,Variance Ratio,Correlation,Approximate Entropy
albemarle_equity,VMD,1,0.02631578947368421,38.0,0.3139850103701706,0.8287289094066131,0.01542529983569807
albemarle_equity,VMD,2,0.009695290858725761,103.14285714285714,0.35120729912138965,0.849501281693101,0.04590325913623694
albemarle_equity,VMD,3,0.027700831024930747,36.1,0.01090874071538392,0.1774281887338803,0.5267854281825146
albemarle_equity,VMD,4,0.08310249307479224,12.033333333333333,0.0015553713168129633,0.07680670790838984,0.5421884000433823
albemarle_equity,VMD,5,0.1994459833795014,5.013888888888889,0.0004320804037935643,0.03641875398497153,0.44496296304507954
albemarle_equity,VMD,6,0.28116343490304707,3.5566502463054186,0.00019407381790569959,0.025096570889815206,0.4348170838885572
albemarle_equity,VMD,7,0.3268698060941828,3.059322033898305,0.00012782112314057477,0.02207941080988616,0.4598465910364018
albemarle_equity,VMD,8,0.3878116343490305,2.5785714285714287,0.00021975776575061987,0.022090616018767228,0.47479752065652825
albemarle_equity,VMD,9,0.45706371191135736,2.187878787878788,8.499605579322166e-05,0.01687936421183459,0.6142563517315454
albemarle_equity,CEEMDAN,1,0.3296398891966759,3.033613445378151,0.0022698723967032757,0.05265496912273666,1.2637288699455151
albemarle_equity,CEEMDAN,2,0.1371191135734072,7.292929292929293,0.002731428747800199,0.057137390653939676,0.8415872129787108
albemarle_equity,CEEMDAN,3,0.055401662049861494,18.05,0.008040146381487347,0.061705149256504985,0.5894683941329508
albemarle_equity,CEEMDAN,4,0.024930747922437674,40.111111111111114,0.01622885689072641,0.028528903714182544,0.4112215084744806
albemarle_equity,CEEMDAN,5,0.008310249307479225,120.33333333333333,0.031104429780304924,0.2101113133043904,0.1224270111039858
albemarle_equity,CEEMDAN,6,0.004155124653739612,240.66666666666666,0.18575452520453095,0.681390852594084,0.04686214854316617
albemarle_equity,CEEMDAN,7,0.0,,0.5836147741431998,0.8568755730275314,0.009420068767453715
ganfeng_equity,VMD,1,0.02631578947368421,38.0,0.06363263202639631,0.8920136234921389,0.029104391229822557
ganfeng_equity,VMD,2,0.009695290858725761,103.14285714285714,0.5586615506235323,0.9704824453759725,0.03165656975246489
ganfeng_equity,VMD,3,0.018005540166204988,55.53846153846154,0.0192825837215449,0.22591252127502942,0.34780316223952834
ganfeng_equity,VMD,4,0.0443213296398892,22.5625,0.003756662734768068,0.10248088642435711,0.5838985335200708
ganfeng_equity,VMD,5,0.0886426592797784,11.28125,0.0020623095342430764,0.0685332277758357,0.4972021099243844
ganfeng_equity,VMD,6,0.1371191135734072,7.292929292929293,0.0008590606419269563,0.048865765407718,0.4294312729228009
ganfeng_equity,VMD,7,0.3171745152354571,3.1528384279475983,0.00023674152512663917,0.026244265177366517,0.43660581216616023
ganfeng_equity,VMD,8,0.40304709141274236,2.4810996563573884,0.00020464335097729647,0.02201616208930099,0.5048251538616699
ganfeng_equity,VMD,9,0.47368421052631576,2.111111111111111,0.0001486955924544081,0.018907380898822834,0.4802962381099185
ganfeng_equity,CEEMDAN,1,0.32409972299168976,3.0854700854700856,0.0025564106544763085,0.07192302991609278,1.1903567007410825
ganfeng_equity,CEEMDAN,2,0.14127423822714683,7.078431372549019,0.0044632207888147275,0.03357444772667377,0.7107522319952442
ganfeng_equity,CEEMDAN,3,0.06371191135734072,15.695652173913043,0.006308149487836316,0.16367389438112429,0.571112382438193
ganfeng_equity,CEEMDAN,4,0.024930747922437674,40.111111111111114,0.02241209386771985,0.19445139763801558,0.42692386941075977
ganfeng_equity,CEEMDAN,5,0.008310249307479225,120.33333333333333,0.19345242695485357,0.7215397958223354,0.05499570509834051
ganfeng_equity,CEEMDAN,6,0.0013850415512465374,722.0,0.507928132722248,0.8905036166161995,0.02699575431545398
